id,category,campaign_stage,tip,why_it_works,region,confidence,evidence,source,source_url,source_date
rc-029,job_ad,attract,Use one screening question in the ad to weed out clearly unqualified applicants without adding friction.,A single targeted screener lifts hire likelihood without hurting completion.,global,medium,Screener questions can lift hire likelihood by 50%,Indeed,https://www.indeed.com/hire/resources/howtohub/optimize-jobs-from-your-career-site-or-ats-on-indeed,2024-04
rc-030,job_ad,attract,"Write the ad in second person, talking to the candidate, not in third person about the role.","Second-person ads convert better because they feel like a conversation, not a brochure.",global,medium,Direct candidate-facing copy lifts apply rates,Ongig,https://blog.ongig.com/job-ads/10-ways-to-boost-a-job-ads-apply-rate/,2024-03
rc-031,job_ad,attract,Add one sentence on growth or learning. Career progression beats free coffee for most candidates.,Professional development is highly valued by both Millennials and Gen Z.,global,medium,Gen Z prioritise purpose and growth over traditional perks,Radancy,https://blog.radancy.com/2024/08/05/recruiting-gen-z-data-trends/,2024-08
rc-032,job_ad,attract,Open with a hook sentence that names the problem the role exists to solve.,Problem-led openings outperform generic job-summary openings on click-to-apply.,global,medium,Outcome-led copy lifts engagement,CareerPlug,https://www.careerplug.com/recruiting-metrics-and-kpis/,2025-02
rc-033,job_ad,attract,"Use the same job title across the ad, the careers page and the ATS posting. Inconsistency tanks search ranking.","Consistent titles improve search visibility on Indeed, SEEK and Google for Jobs.",global,high,Consistent titles outrank creative aliases,Workable,https://resources.workable.com/tutorial/seo-job-descriptions,2024-05
rc-034,job_ad,attract,"Use plain English at year-9 reading level. Long, jargon-heavy sentences lose candidates fast.",Plain language widens the applicant pool and improves comprehension on mobile.,global,medium,Plain language consistently lifts conversion in copy testing,Ongig,https://blog.ongig.com/job-ads/10-ways-to-boost-a-job-ads-apply-rate/,2024-03
rc-035,job_ad,attract,"Test two title variants in parallel for the first 48 hours, then keep the winner.",Job title is the single highest-leverage A/B test on apply rate.,global,medium,Title length and wording shift click-to-apply rates substantially,Appcast,https://www.appcast.io/how-to-write-a-job-ad-that-converts/,2024-03
rc-036,job_ad,attract,Mention location specifically. Vague location terms like nationwide or flexible reduce apply rates.,"Candidates filter heavily on location, so specificity drives qualified clicks.",global,medium,Location specificity is a top job board filter,Indeed,https://www.indeed.com/hire/resources/howtohub/optimize-jobs-from-your-career-site-or-ats-on-indeed,2024-04
rc-037,job_ad,attract,Add a one-line note inviting candidates to apply even if they meet most but not all requirements.,Encouragement statements lift under-represented applications without lowering quality.,global,medium,Inclusive framing widens applicant pool,World Economic Forum,https://www.weforum.org/stories/2024/02/job-description-talented-women-leadership/,2024-02
rc-038,sourcing,attract,"Lead the AU campaign on SEEK for volume, then layer LinkedIn for specialist roles and Indeed AU as a second tier.",SEEK is the gravitational centre of AU job search; specialist roles benefit from LinkedIn targeting.,AU,high,SEEK applications per ad at record highs in August 2025,SEEK,https://talent.seek.com.au/market-insights/article/seek-employment-dashboard-august-2025,2025-09
rc-039,sourcing,attract,Ask your team for two referrals each in the first week. Most referrals happen during work hours.,Referred candidates convert at ~30% vs ~7% for other applicants and retain 25% better at one year.,global,high,Referrals deliver higher conversion and retention,Electroiq,https://electroiq.com/stats/employee-referral-statistics/,2024-04
rc-040,sourcing,attract,Set a flat referral bonus that is meaningful to your business. Anywhere from a thousand to five thousand dollars is the typical band.,"Clear, fair bonuses drive participation without distorting decisions.",global,medium,Typical referral bonuses range 1k to 5k per successful hire,FormAssembly,https://www.formassembly.com/blog/employee-referral-programs/,2024-07
rc-041,sourcing,attract,Run silver-medalist re-engagement at the start of any campaign. Past finalists convert at 50% or higher.,Silver medalists already know your business and convert at high rates with low effort.,global,high,Silver-medalist re-engagement consistently exceeds 50% response,Hootrecruit,https://hootrecruit.com/blog/passive-talent-sourcing/,2024-10
rc-042,sourcing,attract,Personalise outreach by mentioning a specific project or post by the candidate. Boilerplate InMail loses to specifics.,Personalised outreach lifts InMail response from 5-10% to 25-35%.,global,high,Personalisation triples cold outreach response rates,Metaview,https://www.metaview.ai/resources/blog/candidate-outreach,2024-10
rc-043,sourcing,attract,"Keep InMail under 400 characters. Short, specific messages outperform long pitches.",InMails under 400 characters get 22% higher response rates.,global,high,Short-form outreach data from LinkedIn benchmarks,Metaview,https://www.metaview.ai/resources/blog/candidate-outreach,2024-10
rc-044,sourcing,attract,"Send sourcing outreach Tuesday to Thursday, 8 to 10am or 4 to 6pm local time.","Mid-week, edges of the workday consistently outperform Monday mornings and Friday afternoons.",global,medium,Outreach timing benchmarks,Metaview,https://www.metaview.ai/resources/blog/candidate-outreach,2024-10
rc-045,sourcing,attract,"Use a three-touch outreach sequence across LinkedIn, email and phone within 10 to 14 days.",Multi-channel sequences triple reply rates over single-channel sends.,global,high,Multi-channel sequences achieve 15 to 25% reply vs 5 to 10% single-channel,Metaview,https://www.metaview.ai/resources/blog/candidate-outreach,2024-10
rc-046,sourcing,attract,Run a small programmatic test once you have data on which job boards convert. Reallocate spend in real time.,Programmatic ad buying outperforms manual board spend on targeting and effectiveness.,global,medium,Programmatic shows 51% better targeting and 48% better effectiveness,Veritone,https://www.veritone.com/blog/the-evolution-of-programmatic-job-advertising-3-game-changing-stats-for-2025/,2025-02
rc-047,sourcing,attract,"Build a talent pool for every role you have hired more than once, then nurture it monthly.",Talent pools shorten time-to-fill on the next opening and lower cost-per-hire.,global,high,Monthly nurture cadence is the recommended baseline,Gem,https://www.gem.com/blog/talent-pool-management,2024-09
rc-048,sourcing,attract,"Segment the talent pool by skill, location and engagement before sending any nurture email.",Segmentation lifts open and reply rates and feels less spammy.,global,medium,Granular segmentation is the strongest predictor of nurture engagement,Gem,https://www.gem.com/blog/best-practices-for-organizing-and-nurturing-talent-pools-for-recruiters,2024-07
rc-049,sourcing,attract,"For AU skilled trade roles, advertise in trade-specific channels alongside SEEK because broad boards underperform.",Trade and care occupations remain in long-term AU shortage with low generalist response.,AU,high,"139 AU occupations on shortage list since 2021, heavy in trades and care",Jobs and Skills Australia,https://www.jobsandskills.gov.au/data/occupation-shortage,2025-10
rc-050,sourcing,attract,Post the ad on Indeed Apply if available. Simplified mobile apply lifts completed applications five times.,Indeed Apply delivers 5x more completed applications than non-Apply postings.,global,high,Indeed Apply benchmark,Indeed,https://www.indeed.com/hire/resources/howtohub/what-is-indeed-apply,2024-04
rc-051,sourcing,attract,Run a single TikTok or Reels short for Gen Z roles. Day-in-the-life beats slick recruiter pitches.,Gen Z spends hours daily on short-form video and trusts employee voice over brand voice.,global,medium,Short-form video receives up to 35% higher engagement than static posts,HR Brew,https://www.hr-brew.com/stories/2025/09/23/hr-recruitment-marketing-tiktok,2025-09
rc-052,sourcing,attract,Make sharing the role a one-tap action for staff. Pre-write the LinkedIn copy they can paste.,Employee-shared posts outperform brand-channel posts on engagement and trust.,global,medium,Employee-shared content gets 8x engagement,Sprout Social,https://sproutsocial.com/insights/employee-influencers/,2024-06
rc-053,candidate_experience,attract,"Acknowledge every application within 48 hours, even with an automated message that sets expectations.",Fast acknowledgement reduces ghosting and lifts candidate NPS.,global,high,Only 19% of candidates hear back inside 24 hours today,HR Dive,https://www.hrdive.com/news/job-candidates-want-faster-response-times-from-recruiters-ghosting/635448/,2023-08
rc-054,candidate_experience,attract,Tell candidates the next step and the expected timeline in the acknowledgement email.,Clear timelines reduce anxiety and the urge to accept competing offers.,global,medium,42% of candidates want stronger recruiter communication,Greenhouse,https://www.greenhouse.com/blog/greenhouse-2024-state-of-job-hunting-report,2024-12
rc-055,candidate_experience,engage,Use SMS for time-sensitive updates like interview confirmations. Texts open in three minutes.,"SMS gets a 98% open rate and a 45% response rate, with a median read time of three minutes.",global,high,SMS open and reply rates dwarf email,Hireserve,https://hireserve.com/benefits-of-using-sms-for-candidate-communications/,2024-04
rc-056,candidate_experience,engage,"Ask candidates for their preferred contact channel at the apply stage. Text, email or phone.",Channel preference respect lifts engagement and reduces no-shows.,global,medium,Candidates getting texts rate experience 50% higher,Jobvite,https://www.jobvite.com/blog/how-texting-can-improve-your-candidate-experience/,2024-03
rc-057,candidate_experience,screen,Always send a rejection within five days of the interview. Silent rejections drive negative reviews.,"72% of job seekers share negative experiences online, hurting future campaigns.",global,high,55% of job seekers avoid companies after reading negative reviews,AIHR,https://www.aihr.com/blog/candidate-nps/,2024-08
rc-058,candidate_experience,screen,Personalise rejection emails for interviewed candidates with one specific comment from the panel.,Personal rejections protect employer brand and keep silver medalists warm.,global,medium,Candidate resentment is at record levels,Talent Board,https://www.ere.net/articles/12-key-takeaways-from-the-2024-candidate-experience-benchmark-research,2024-12
rc-059,candidate_experience,screen,Run a candidate NPS survey after every campaign closes. Aim for a score above thirty.,Above zero is acceptable; 30 to 70 is strong; over 70 is elite.,global,high,Standard CNPS benchmark interpretation,Starred,https://www.starred.com/blog/candidate-nps-benchmarks-what-are-they,2024-06
rc-060,candidate_experience,screen,Ask one open question in the NPS survey: what would have made this better. Use the answers in the next intake.,Open feedback surfaces fixable friction points the recruiter cannot see.,global,medium,Only 41% of companies currently ask for feedback,Talent Board,https://www.ere.net/articles/12-key-takeaways-from-the-2024-candidate-experience-benchmark-research,2024-12
rc-061,candidate_experience,engage,Cap the interview process at four stages for non-executive roles. More stages predict drop-off.,Excessive interview rounds increase abandonment and counter-offer risk.,global,medium,"31% of candidates wait 2-3 weeks for first interview, driving disengagement",Cronofy,https://www.cronofy.com/reports/candidate-expectations-report-2024,2024-05
rc-062,candidate_experience,engage,"Share the interview format and questions in advance. Surprise interviews favour confident extroverts, not the best fit.",Preparation increases signal in interviews and improves candidate experience.,global,medium,Structured interviews improve quality of hire,Talentally,https://talentally.com/resources/training-hiring-managers-to-be-better-interviewers,2024-09
rc-063,candidate_experience,engage,Confirm the interviewer name and seniority in the calendar invite. Candidates prep better when they know who they will meet.,Clear context reduces no-shows and improves answers.,global,medium,Candidate communication consistently ranks as top improvement area,Greenhouse,https://www.greenhouse.com/blog/greenhouse-2024-state-of-job-hunting-report,2024-12
rc-064,candidate_experience,offer,Make the verbal offer within 48 hours of the final interview. Delay is the largest cause of declined offers.,Speed prevents counter-offers and competing offers from landing first.,global,high,"Time-to-hire up 24% since 2021, driving acceptance decline",Pin,https://www.pin.com/blog/applicant-drop-off-rates/,2025-12
rc-065,candidate_experience,offer,Ask the candidate during the offer call whether their current employer is likely to counter-offer.,Pre-processing the counter-offer question reduces last-minute withdrawals.,global,medium,Counter-offers account for ~10% of declines,HRBench,https://www.hrbench.com/resource/learn/offer-acceptance-rate,2024-08
rc-066,candidate_experience,offer,Send the written offer the same day as the verbal. A 24 hour gap is enough to lose the candidate.,Documented offers tighten commitment and reduce reneging.,global,medium,Offer process speed predicts acceptance,Pin,https://www.pin.com/blog/recruitment-funnel-benchmarks/,2025-12
rc-067,screening,screen,Use a structured scorecard with weighted criteria for every interview. Unscripted interviews favour the wrong candidates.,Structured scoring is the single highest-impact lift to interview-to-offer conversion.,global,high,Structured interviews improve quality of hire and reduce bias,The Connors Group,https://theconnorsgroup.com/2025/03/04/7-steps-to-designing-a-structured-interview-process/,2025-03
rc-068,screening,screen,Train every hiring manager on the scorecard before they interview. Only 38% have any interview training.,Even one hour of training measurably improves consistency and reduces bias.,global,high,38% of hiring managers receive formal interview training,Talentally,https://talentally.com/resources/training-hiring-managers-to-be-better-interviewers,2024-09
rc-069,screening,screen,Test for skills before reviewing CVs for high-volume roles. Skills tests predict performance better than resumes.,96% of employers using skills tests before CV review report higher-quality hires.,global,high,Skills-first hiring delivers 50% lower time-to-hire and 89% better retention,TestGorilla,https://www.testgorilla.com/skills-based-hiring/state-of-skills-based-hiring-2025/,2025-01
rc-070,screening,screen,Keep work samples short. Twenty minutes maximum for a take-home. Long tasks drive away strong passive candidates.,Excessive work samples are a top reason strong candidates withdraw.,global,medium,Candidate experience research links task length to drop-off,Greenhouse,https://www.greenhouse.com/blog/2024-greenhouse-candidate-experience-report,2024-05
rc-071,screening,screen,Use the same questions across all candidates for the same role. Comparable answers are the only path to fair scoring.,Consistent questions reduce bias and improve hiring manager confidence.,global,high,Structured interviews improve calibration and outcomes,The Connors Group,https://theconnorsgroup.com/2025/03/04/7-steps-to-designing-a-structured-interview-process/,2025-03
rc-072,screening,screen,Limit panel size to three. Larger panels slow decisions without improving signal.,Panel-size discipline keeps decision cycles fast.,global,medium,Stage and panel count drive decision lag,Pin,https://www.pin.com/blog/recruitment-funnel-benchmarks/,2025-12
rc-073,screening,screen,"Score independently first, then debrief. Anchoring to the loudest voice corrupts the consensus.",Independent scoring before debrief is a standard structured-interview safeguard.,global,high,Independent scoring reduces anchoring bias,SIOP,https://www.siop.org/post/quantifying-quality-best-practices-for-measuring-quality-of-hire/,2024-05
rc-074,screening,screen,Use a behavioural question for each must-have skill. Past behaviour predicts future performance.,Behavioural questions outperform hypothetical and trick questions on signal.,global,high,Structured behavioural interviews are the highest-validity interview type,Talentally,https://talentally.com/resources/training-hiring-managers-to-be-better-interviewers,2024-09
rc-075,screening,screen,Reject CVs only against documented criteria. Gut-feel screening reproduces past bias.,Criterion-based screening keeps the funnel defensible and consistent.,global,medium,AI and human screening both reproduce historical bias without criteria discipline,Brookings,https://www.brookings.edu/articles/gender-race-and-intersectional-bias-in-ai-resume-screening-via-language-model-retrieval/,2024-10
rc-076,ai_automation,screen,"Use AI to draft job ads and screening questions, then have a human review every line before it goes live.",AI saves recruiters one workday a week but should not replace judgement on the final output.,global,high,74% of TA pros say AI makes hiring more efficient,LinkedIn,https://business.linkedin.com/talent-solutions/resources/future-of-recruiting,2025-01
rc-077,ai_automation,screen,Disclose when AI is used in screening and give candidates an opt-out path.,Transparency is now an expected practice and lifts trust scores.,global,medium,Gartner recommends opt-out paths for AI screening,Gartner,https://www.gartner.com/en/newsroom/press-releases/2025-10-07-gartner-says-ai-revolution-and-cost-pressures-are-two-forces-driving-the-top-four-trends-for-talent-acquisition-in-2026,2025-10
rc-078,ai_automation,screen,"Audit AI screening output quarterly for demographic skew. If older or female candidates are screened out at higher rates, retrain or override.",AI screeners reproduce historical bias without active monitoring.,global,high,Stanford 2025 study shows AI screeners favour older male candidates,ArXiv,https://arxiv.org/pdf/2507.11548,2025-07
rc-079,ai_automation,engage,"Use a chatbot for FAQ, scheduling and basic eligibility checks. Hand off to a human as soon as the conversation gets complex.",Chatbot handoff design protects candidate experience while saving recruiter time.,global,medium,38% of recruitment processes now use chatbots,Flexos,https://www.flexos.work/learn/conversational-ai-intelligent-chatbots-recruitment,2024-08
rc-080,ai_automation,screen,"Run async video pre-screens with three to five short questions, not ten. Long async screens hurt candidate experience.",Concise async pre-screens cut screening time by 80% without overwhelming candidates.,global,high,Async video pre-screens cut screening time by 80%,Vidcruiter,https://vidcruiter.com/video-interviewing/pre-recorded/,2024-07
rc-081,ai_automation,screen,"Let candidates retake async video answers at least once. Single-take recording penalises nerves, not performance.",Retake permission improves the fit between recording and real performance.,global,medium,Async video can feel impersonal and intimidating without affordances,Vidcruiter,https://vidcruiter.com/video-interviewing/pre-recorded/,2024-07
rc-082,ai_automation,engage,Automate interview scheduling. Reclaim recruiter hours and remove the slowest part of the calendar dance.,Scheduling automation saves recruiters 15 plus hours a week.,global,medium,Async video and scheduling tools save 15+ hours per recruiter weekly,Vidcruiter,https://vidcruiter.com/video-interviewing/pre-recorded/,2024-07
rc-083,ai_automation,plan,"Pick one AI workflow to roll out per quarter, not five at once. Adoption fails when teams try too many things.",Focused rollout outperforms scattered AI pilots in TA adoption studies.,global,medium,Bersin TA Revolution recommends sequenced AI rollout,The Josh Bersin Company,https://blog.radancy.com/2025/10/21/the-josh-bersin-company-report-recap-the-talent-acquisition-revolution/,2025-10
rc-084,ai_automation,screen,"Never let AI make the final hiring decision. Use it for triage and ranking, with humans deciding.",AI plus diverse human review outperforms either alone and protects against bias.,global,high,"Best practice is AI-augmented, human-decided screening",Impress.ai,https://impress.ai/blogs/the-2025-guide-to-eliminating-bias-in-ai-recruitment/,2025-03
rc-085,speed_efficiency,engage,Set a 5-day target from application to first interview offer for high-volume roles.,Most candidates withdraw if they wait two to three weeks for the first interview.,global,high,31% of candidates wait 2-3 weeks for first interview today,Cronofy,https://www.cronofy.com/reports/candidate-expectations-report-2024,2024-05
rc-086,speed_efficiency,plan,Block interview slots in the calendar for the next two weeks before the ad goes live.,Pre-blocked interview slots remove the largest source of scheduling delay.,global,medium,Scheduling lag is a top driver of time-to-hire,Cronofy,https://www.cronofy.com/reports/candidate-expectations-report-2024,2024-05
rc-087,speed_efficiency,screen,Combine the first interview and the work sample where possible. Two-stage processes beat four-stage on acceptance.,Fewer stages tighten the funnel without losing signal when each stage is well-designed.,global,medium,Time-to-hire correlates with offer acceptance,Pin,https://www.pin.com/blog/recruitment-funnel-benchmarks/,2025-12
rc-088,speed_efficiency,analyse,Track time-in-stage. The slowest stage is the bottleneck and where to spend your fix-it hour.,Time-in-stage is the single most actionable speed metric.,global,high,Stage-aging is the top dashboard signal across recruiting tools,AIHR,https://www.aihr.com/blog/recruitment-dashboard/,2024-11
rc-089,speed_efficiency,analyse,"Aim for time-to-hire under 32 days for AU non-executive roles. The AU median is 32 days, 16% faster than global.",AU has a structural speed advantage; matching the median is a credible baseline.,AU,high,Median time-to-hire 32 days in AU,SmartRecruiters,https://www.smartrecruiters.com/blog/australia-benchmark-recruiting-metrics/,2025-03
rc-090,speed_efficiency,engage,Use one shared inbox or ATS thread per candidate. Email tennis loses candidates.,Single-threaded comms reduces dropped balls and improves response times.,global,medium,Candidate comms ranks as top experience improvement area,Greenhouse,https://www.greenhouse.com/blog/greenhouse-2024-state-of-job-hunting-report,2024-12
rc-091,speed_efficiency,screen,"Run interviews same-week, not over a fortnight. Compressed cycles improve calibration and decision quality.",Compressed cycles keep the panel aligned and the candidate engaged.,global,medium,Stage-aging predicts both acceptance and quality,AIHR,https://www.aihr.com/blog/recruitment-dashboard/,2024-11
rc-092,speed_efficiency,plan,Pre-approve the salary band with finance before posting. Late approval kills offers.,Salary delay is a top decline cause.,global,medium,Compensation accounts for ~40% of offer declines,HRBench,https://www.hrbench.com/resource/learn/offer-acceptance-rate,2024-08
rc-093,speed_efficiency,plan,Pre-draft the offer letter and the rejection email. Day-of writing slows decisions.,"Templated docs let recruiters move on offer day in minutes, not hours.",global,medium,Offer speed predicts acceptance,Pin,https://www.pin.com/blog/applicant-drop-off-rates/,2025-12
rc-094,content_social,attract,"Post the role on LinkedIn from the hiring manager's profile, not just the company page. Personal posts outperform brand posts.",Employee-led posts get more reach and trust than company-page posts.,global,high,Employee-shared content has 8x engagement,Sprout Social,https://sproutsocial.com/insights/employee-influencers/,2024-06
rc-095,content_social,attract,"Run one piece of social content per week for the duration of the campaign, not all at launch.",Consistent cadence beats a single launch blast for sustained applications.,global,medium,Recurring content compounds across campaign window,Wonderkind,https://www.wonderkind.com/blog/how-to-use-video-to-hire-on-tiktok-youtube-snapchat,2025-01
rc-096,content_social,attract,"Use vertical video under 60 seconds for Reels, Shorts and TikTok. Horizontal repurposes badly.",Short-form vertical video outperforms longer formats for completion and shares.,global,high,Under-60-second video wins on completion,HR Brew,https://www.hr-brew.com/stories/2025/09/23/hr-recruitment-marketing-tiktok,2025-09
rc-097,content_social,attract,"Add captions to every video. Most viewers watch with sound off, especially on mobile.",Captions lift watch-time and accessibility.,global,high,Mobile-default sound-off behaviour drives caption ROI,Wonderkind,https://www.wonderkind.com/blog/how-to-use-video-to-hire-on-tiktok-youtube-snapchat,2025-01
