ID,Priority,Section,Action,Owner,Effort,External spend,Success criteria,Doubt impact,Status,Ship date,Notes
E6,P0,Governance,"NEW (Bianca): Governance doc at hqai/docs/ops/governance.md covering (a) who decides in-quarter direction, (b) audit-fix SLA (content 7 days / prompt 14 / code 30), (c) co-owner veto scope (brand + positioning), (d) weekly cadence.",Founder + Bianca,1 founder-day,$0,Doc committed; first weekly review held.,Bianca's 'who decides what gets built' question,Not started,,New - Bianca §5
B1,P1,Currency content,Add Right to Disconnect (2024 large-employer + 2025 small-business tranches) to lib/prompts.ts grounding + create RTD policy template + add to template library (now 34).,Founder + Dev,3 days,$0,AI Advisor cites s.333M FWA in relevant answers; RTD policy template generates cleanly.,Kills part of Doubt #2,Done,,2026-07-14: shipped this session.
B2,P1,Currency content,Add psychosocial safety WHS duties (Model WHS Regs 2022 + Code of Practice) to knowledge base. Add a psychosocial risk assessment template.,Founder + Dev,3 days,$0,Advisor can answer 'what are my psychosocial WHS duties?' with a cited answer.,Kills part of Doubt #2,Done,,2026-07-14: shipped this session.
B3,P1,Currency content,Add criminalised wage theft (Jan 2025) to grounding + AI Advisor triage. Every wage/underpayment question surfaces the criminal-liability chip and pushes escalation.,Founder + Dev,2 days,$0,Underpayment questions surface a Fair Work criminal threshold warning + escalation card.,Kills part of Doubt #2,Done,,2026-07-14: shipped this session.
B4,P1,Currency content,Add Employee Choice Pathway (21-day mechanics) to casual-conversion flow + templates.,Founder + Dev,2 days,$0,Casual-conversion question triggers the Employee Choice Pathway workflow.,Kills part of Doubt #2,Done,,2026-07-14: shipped this session.
B5,P1,Currency content,Add same-job-same-pay for labour hire + payday super (July 2026) to knowledge base + grounding.,Founder + Dev,2 days,$0,Advisor covers both correctly with citations.,Kills part of Doubt #2,Done,,2026-07-14: shipped this session.
B6,P1,Currency content,"REFINED (Bianca): Ship freshness metadata on every answer PLUS publish the full cadence (weekly FWO scan, monthly reindex + eval, quarterly external lawyer review, annual full reindex) on the /ai-standard page as a public commitment.",Dev + Founder,3 days,$0,Every chat response renders a freshness date; humanistiqs.ai/changed publishes weekly; cadence table live on /ai-standard.,Reinforces Moat 3 + Bianca §3.1,Not started,,Refined by Bianca §3.1
B7,P1,Product completion,REFINED (Bianca): 3-tier router carved out to A10 (elevated to P0). This item now covers Awards Interpreter + Compliance Assessment + Campaign Coach only.,Dev,12 days,$0,"Awards Interpreter, Compliance Assessment, Campaign Coach ship v1 with dogfood evidence + 2+ pilot users active in each.",Kills rest of Doubt #4,Not started,,Refined - router carved to A10
B8,P1,Legal credibility,REFINED (Bianca): Convert one-off independent AU employment-law review to a QUARTERLY RETAINER with a named mid-size AU employment firm. 4 quarterly reviews at $2-4k each. Publish redacted summaries on /ai-standard as a rolling trust asset.,Founder,4 weeks lead then quarterly,"$8,000-$16,000/yr",First quarterly review scheduled + firm named; each quarterly summary publishes within 30 days.,Kills majority of Doubt #2,Not started,,Refined by Bianca §3.4 - was one-off
B9,P1,Legal credibility,Ship the accuracy audit dashboard. Weekly internal audit of 20 random Advisor answers scored against Fair Work / NES / Award citations. Publish quarterly summary stats on AI Standard page.,Founder,1 day setup + 2 hrs/week,$0,First quarterly report published Q4 2026 with 3 months of data.,Compounds Doubt #2 - ELEVATED to non-negotiable,Not started,,Elevated by Bianca §7.3
B10,P1,Legal credibility,"Disclaimer + escalation UI hardening. Every chat answer touching unfair dismissal, termination, workplace investigation, WHS incident, or EBA territory triggers escalation automatically. Termination one-off SKUs gate on advisor-review checkbox before download.",Dev,3 days,$0,Automated regression tests over 5 high-risk topic classes trigger escalation 100% of the time; termination doc gates on review checkbox.,Kills reputational tail-risk in Doubt #2,Not started,,Refined - Bianca §3.3 layer 2
B11,P1,Legal credibility,"AI-in-hiring fairness page for the CV Scoring Agent. Publish rubric-first, bias-signal auto-anonymisation, manual override always available, no automated hire/reject decisions.",Founder + Copy,1 day,$0,Page live at humanistiqs.ai/hiring-fairness; linked from every CV Scoring Agent surface.,Pre-empts Doubt #2 regulatory tail,Not started,,
B12,P1,Retention,"REFINED (Bianca): Foundation 100 launch. First 100 customers lock Business at $189/mo forever (NOT $179, per Bianca cost-recovery). 12-month commit. EXCLUDES Enterprise stack from Foundation cohort year 1 (advisor capacity constraint per E4).",Founder,2 days copy + landing,$0,Foundation 100 slots page live; enrolment tracked; Enterprise exclusion clause visible.,Load-bearing for Doubt #5,Struck - Foundation removed,,"Refined by Bianca §7.2 | 2026-07-14: STRUCK - Foundation 100 removed from the product entirely (co-owner decision, July 2026)."
B13,P1,Retention,Ship the Monday Brief habit loop for HQ People customers.,Dev,5 days,$0,First Brief lands Monday 22 June 2026 6am AEST; open rate tracked.,Retention lever,Not started,,
B14,P1,Telemetry,"Ship the 5-metric pilot telemetry dashboard: time-to-first-cited-answer, day-7 active rate, credits-per-active-user, willingness-to-pay-conversion, spontaneous-referral count.",Dev,3 days,$0,Founder can see all five metrics for all pilots on one page.,Load-bearing for §F validation plan,Not started,,
B15,P1,Distribution,"Begin accountant/bookkeeper partner conversations. Founder-led, 5 named partners by end of Q3.",Founder,2 hrs/week,$0,5 named partners in a spreadsheet with recorded intro calls.,Kills part of Doubt #5,Not started,,
B16,P1,Distribution,"Draft the Why not Employsure comparison page. Fact-based, cites the ACCC $3M penalty, 5-year contract structure, published exit fees.",Founder + Copy,2 days,$0,Page live; ranks in top-10 Google AU for 'employsure alternative' within 90 days.,Kills part of Doubt #5,Not started,,
E3,P1,Insurance,"NEW (Bianca): Professional Indemnity insurance with AI-advice rider ($2M-$5M cover) + cyber liability ($1M-$2M). Quote from Marsh Australia + Aon + AJG. Continuous cover from date of first paying customer, not policy inception.",Founder + broker,2 weeks lead,"$4,000-$9,000/yr",Signed policy in hand BEFORE ANY commercial launch; scope + exclusions published on /security.,Non-negotiable pre-launch per Bianca §6.3,Not started,,New - Bianca §6.3 - pre-launch blocker
E4,P1,Advisor capacity,NEW (Bianca): Advisor capacity ramp plan at hqai/docs/ops/advisor-capacity.md. Fractional AU HR advisor hired at customer 21 (year-1 hard cap of 30 Enterprise-stack customers before hire is mandatory).,Founder,1 week planning + hire lead,$60k-$100k/yr fractional advisor from customer 21,Plan committed; hire triggered at customer 21; Enterprise signups capped at 30 in year 1.,Enterprise delivery-risk mitigation per Bianca §4.3,Not started,,New - Bianca §4.3
E7,P1,Data residency,NEW (Bianca): Migrate Anthropic API traffic from direct US API to AWS Bedrock Sydney region. Keeps AI inference in ap-southeast-2.,Dev,3-5 dev-days,+10-15% inference cost,All Anthropic calls route via Bedrock ap-southeast-2; verified via network logs.,Kills residency-claim misleading tail per Bianca §6.2,Not started,,New - Bianca §6.2
E8,P1,Data residency,"NEW (Bianca): Monthly automated data-residency verification script. Verifies Supabase region, backup destination, Cloudflare Stream region, and every third-party API's residency posture. Escalates on drift.",Dev,1 day,$0,Script runs monthly on schedule; drift triggers founder alert.,Governance for residency claim per Bianca §6.2,Not started,,New - Bianca §6.2
C16,P1,Ownership + governance,"NEW (Bianca): Co-owner shareholders' agreement refresh with buy-sell, drag-along, tag-along, bad-leaver clauses, founder vesting + reverse-vesting on departure.",Founder + Bianca + startup lawyer,1 founder-week lead,"$4,000-$7,500 legal",Signed agreement filed; covers Bianca's economic + IP rights on exit event.,Bianca §2.3 - governance completeness,Not started,,New - Bianca §2.3
C1,P2,Marketplace expansion,"Ship remaining marketplace SKUs at refined ladder (per A1): Termination $99, Employment Contract $129, First & Final Warning $59, Position Description $49, PIP $69, Reference Check $39, plus Employment Pack $349 and Award Pack $599. All zero-signup Stripe one-offs.",Dev,5 days,$0,12+ total SKUs live at revised ladder; combined marketplace revenue tracked separately.,Micro band 25% -> 55%,Not started,,Refined pricing per Bianca §1.2
C2,P2,Marketplace retention,Ship silent-account opt-in on /offer/success. Non-member offered 'keep this document + all future docs on file' as one-click retention lever.,Dev,3 days,$0,Opt-in rate tracked; conversion to Bundle Complete measured.,Micro band retention lift,Not started,,
C3,P2,PR / distribution,Ship the '$49 offer letter no signup' PR push through Smart Company + Inside Small Business. Founder byline article.,Founder,3 days content + 2 weeks pitch,$0,Article published in at least one of Smart Company / Inside Small Business.,CAC test,Not started,,Updated to $49 pricing
C4,P2,Enterprise delivery,"REFINED (Bianca): Formalise Enterprise stack delivery model. SLA, response-time, advisor-hour tracking, session recording, handover escalation. ENFORCE YEAR-1 HARD CAP OF 30 CUSTOMERS as published product-page number - not founder discretion.",Founder + Dev,1 week,$0,Playbook doc published; hard cap enforced in Stripe checkout gating; first Enterprise customer onboarded on the SLA.,Medium band 35% -> 55% + Bianca §4.3 capacity fix,Not started,,Refined by Bianca §7.2
C5,P2,Enterprise delivery,Build the advisor hours consumed meter inside the customer dashboard.,Dev,3 days,$0,Dashboard shows hours-used / hours-remaining + named advisor + last-3-sessions history.,Delivers on anti-Employsure positioning,Not started,,
C6,P2,Product completion,"Ship the Compliance Assessment tool. Business owner answers 15 questions, gets a compliance risk score + prioritised remediation list.",Dev,8 days,$0,Tool ships; 20 pilots complete it in the first month.,Medium band completeness proof,Not started,,
C7,P2,Integration,Payroll integration MVP. Read-only Xero / MYOB / KeyPay connector to pull employee list. Not a payroll engine - just data sync.,Dev,10 days,$0,One of Xero / MYOB shipping; used by 3+ medium-band pilots.,Closes 'we don't do payroll' objection,Not started,,
C8,P2,Enterprise plumbing,SSO + audit logs. SAML SSO via Auth0 or WorkOS. Structured audit log surfacing every AI answer + document generation + user action. Ship as add-on to Enterprise stack at $199/mo.,Dev,10 days,$0,SSO working with 1 pilot enterprise; audit logs immutable and exportable.,Enterprise band <10% -> 25%,Not started,,
C9,P2,Enterprise plumbing,ISO 27001 or SOC 2 Type I gap analysis. Readiness assessment - prep for a Q2 2027 audit.,Founder + auditor,3 weeks lead time,$5-10k,Gap analysis report received; remediation backlog created.,Enterprise prerequisite,Not started,,
C10,P2,Enterprise plumbing,REFINED (Bianca): Data residency + hosting commitment. Publish precise /security page (customer records in Supabase Sydney; AI inference via Bedrock Sydney per E7; PII scrubbing where practical). Named Data Residency Officer role. Verified by E8 monthly script.,Dev + Founder,2 days,$0,Precise /security page live; DRO role assigned; verified via monthly automated check.,Enterprise + Bianca §6.2 governance,Not started,,Refined by Bianca §6.2
C11,P2,Enterprise plumbing,Enterprise inbound page at humanistiqs.ai/enterprise. Calendly link to founder for firms of 200+. Cap at 10 conversations in year one.,Founder + Copy,1 day,$0,Page live; conversion to inbound calls tracked.,Enterprise band signal,Not started,,
C12,P2,Competitive,Watch HeroForce feature launches and ship same-week response every time. Public roadmap becomes the receipt.,Founder,1 hr/week,$0,Public roadmap updated weekly; every HeroForce feature has a matched entry with a ship date.,Kills part of Doubt #5,Not started,,See E5
C13,P2,Content moat,Publish weekly humanistiqs.ai/library/<topic> guides on the 20 highest-search-volume AU HR questions.,Founder,4 hrs/week,$0,12 published by end of Q4; ranks in top-5 for 3+ target queries.,Reinforces Moat 3,Not started,,
C14,P2,Trust signal,Publish the Foundation 100 wall as a permanent marketing asset with logos + quotes + dollar-savings numbers. Requires opt-in.,Founder + Copy,2 days,$0,Wall page live with 20+ named customers by end of Q4.,Trust signal,Struck - Foundation removed,,"2026-07-14: STRUCK - Foundation 100 removed from the product entirely (co-owner decision, July 2026)."
C15,P2,Human review product,NEW (Bianca): Ship 'Human Review Add-On' - customer can attach a Humanistiqs advisor review to any generated document at $399 first hour + $199 per subsequent 30 min. Surfaced as checkbox at document-generation point.,Dev + Founder,3-5 days,$0,Add-on Stripe SKU live; UI checkbox surfaces at doc generation; first review completed and invoiced.,Bianca §1.2 - real revenue for Humanistiqs consultant time,Not started,,New - Bianca §1.4
D1,P3,Scale evidence,Get to 500 paying customers.,Founder + growth motion,12-18 months,$0,500 paying at end of Q1 2028.,Kills shipped-scale doubt in mission ceiling,Not started,,
D2,P3,Scale evidence,Publish first annual State of AU HR AI accuracy report using 12 months of audit data + customer-reported outcomes.,Founder,4 weeks,$0,Report published with third-party co-author (ideally an AU employment law academic).,Kills tail-risk in Doubt #2,Not started,,
D3,P3,Distribution moat,Ship the accountant partner portal (Q1 2027). 20% revenue share for 12 months; badge system; co-branded onboarding.,Dev,15 days,$0,Portal live; 10 active partners by end of Q1 2027; 30+ partner-sourced customers.,Kills majority of Doubt #5,Not started,,
D4,P3,Vertical moat,Ship Hospitality Pack + Trades Pack + Allied Health Pack at $39/mo add-ons.,Dev,15 days each,$0,Each pack ships with award-specific templates + interpretation depth; 50+ subscribers per pack in Q4 2027.,Vertical moat + funds new Award Packs at $599-$799,Not started,,Ties to A1 Award Pack SKU
D5,P3,Enterprise credibility,Enterprise SOC 2 Type I audit and publish trust page at humanistiqs.ai/trust.,Founder + auditor,6-8 weeks,$15-30k,SOC 2 Type I letter published; used to unlock inbound enterprise conversations.,Enterprise band 25% -> 45%,Not started,,
D6,P3,Independent evaluation,Independent AI in AU HR evaluation commissioned from university or think-tank. Publish results transparently.,Founder,3-4 months,$10-25k,Evaluation published; used as trust artefact for enterprise + government inbound.,Kills 'no external audit' objection permanently,Not started,,
D7,P3,Expert marketplace,"Vetted expert marketplace (lawyers, ER consultants, payroll specialists). Only launch once 500+ paying + 1 part-time ops hire.",Founder + ops hire,8-12 weeks,$0,Pilot with 5 vetted experts; 20% take rate; margin > 15% net after ops cost.,Completes wedge for medium band,Not started,,
